Content,Emotion_predicted
RT Because we are on lockdown at the moment I m gonna surprise some people during the Covid 19 outbreak I m giving five p,fun
RT The disconnect between what u might be hearing at a press briefing amp what I am hearing in the ED that chasm couldn t be,worry
I must say Merits where it s due I reckon this Job Keeper package is one of the greatest initiatives an Australia,sadness
Coronavirus COVID19 Strikes Airbnb Hosts,happiness
Adrian Dix Minister of Health and Dr Bonnie Henry B C s provincial health officer have issued the following j,fun
RT Muller Is that right decision when all drug dealers thieves rapists robbers killers will be freed but CADETS nurses and sol,sadness
RT A 24 yr old frat bro of mine just passed from COVID 19 Guys this bitch ain t discriminating Do your best to protect you,fun
RT Thirteen days ago we were the first to bring you the hydroxychloroquine success story from docs treating COVID patients,fun
RT Breaking City of Denver says that an inmate has tested positive with COVID 19 at the downtown Detention Center,worry
RT This is unconscionable Americans are already afraid of the impact the deadly COVID 19 pandemic is having on their lives th,sadness
RT If you don t think China will use COVID 19 to kill every Muslim in Xinjiang then you don t know the Chinese Communist Part,worry
RT couldn t let National Doctors Day end without a special shout out to my favorite Doc Our community i,worry
RT Last week Mich Gov Whitmer blocked Chloroquine as an option for treating Covid 19 Now as of this morning her order is,relief
RT AndeKarim Its easy to say that COVID 19 is spreading because people wont stay home I think it has more to do with the fact that,happiness
RT We ve updated our still very rough estimates for the proportion of symptomatic COVID 19 cases being reported in diffe,happiness
RT INBOX created an interactive dashboard with information on the coronavirus cases in the area by age gender confir,worry
RT Gov Pritzker is seeking federal approval to expand Medicaid to provide coverage to uninsured people diagnosed with the,sadness
RT I have recovered from Covid 19 We are humbled by the outpouring of love for me and John and our precious family He is sta,neutral
RT World population 7 74 billion COVID 19 mortality rate 4 8 US population 331 million If every person in the world were,fun
RT If you think you have Covid 19 DO NOT TAKE IBUPROFEN there is a correlation between the pill the disease and those who are,happiness
RT You should also know that the airlines under federal regulations do not notify passengers of possible exposure per st,neutral
RT COVID 19 Monday Update 3 30 20 Here s the latest crisis update from Dr Craig Smith and l,happiness
RT This is unconscionable Americans are already afraid of the impact the deadly COVID 19 pandemic is having on their lives th,sadness
RT Israel Has Destroyed Palestinian Emergency Facilities And Confiscated Equipment Used To Deal With Covid 19 They Have Al,worry
RT 12 More physician assistants are ready to help with COVID 19 now governors must empower them,happiness
7 niggas in Rialto already tested positive for COVID 19 yeah catch me outside next year,worry
RT leon 04 My mom tested positive for COVID 19 yesterday Tonight we had to rush her to the emergency room because she couldn t breath,worry
RT PELOSI SAYS INVESTIGATE TRUMP S COVID 19 RESPONSE TRUMP Donated Salary to COVID 19 Research PELOSI Gives herself a,neutral
RT She blames Trump for COVID 19 spread WATCH 2 24 VIDEO Pelosi wants residents to understand how it s PERFECTLY SAFE to be,happiness
RT My Mom s a nurse and just tested positive for COVID 19 The caregiver is now the patient Stay home for all the brave,relief
RT We have lost one of our NY based trans community leaders to COVID 19 Rest in power Lorena Borjas,fun
Requested fed loan covid 19 forbearance on their website for those with federal loans don t forget to do this,worry
RT I just received awful news My Uncle Tommy Ghant died from COVID 19 in Michigan this morning I saw Uncle Tommy 3 months,worry
RT A busy day as we fight the coronavirus private hospitals onboard nursing home measures more personal protective equ,relief
RT Dr Fauci s now projecting up to 200k Americans could die from COVID 19 Current death rate 1 7 That means he projects,worry
Special message from Africa regarding prevention against COVID 19,fun
RT 108 year old Hilda Churchill Saw paperboys break the news of Titanic s sinking Was old enough to vividly remember WW1 S,worry
RT Chinese medics have just arrived in London to help us fight Covid 19 The media won t tell you for some reason https,happiness
RT My Mom s a nurse and just tested positive for COVID 19 The caregiver is now the patient Stay home for all the brave,relief
RT My Mom s a nurse and just tested positive for COVID 19 The caregiver is now the patient Stay home for all the brave,relief
RT UPDATE ON COVID 19 All persons in hospital with severe acute respiratory illnesses will be tested for Covid 19 All healthc,happiness
Support Jared by signing Why You Must Act Now and I ll deliver a copy to your officials too,worry
CDC Cat Disease Control Stay inside and don t boop hooman faces,sadness
I bet they never told you that Covid 19 is a disease from a virus called SARS CoV 2 they keep,sadness
RT Fauci amp Birx are on record today saying COVID 19 in NYC is a sign of things to come for entirety of USA Let s keep tr,fun
RT All of us after COVID 19 is successfully contained,happiness
RT Deaths on 9 11 2996 The current number of COVID 19 deaths in America 3148 TrumpIsKillingAmericans,happiness
RT Making the small moments matter during the COVID 19 pandemic via,worry
RT made those comments during a daily briefing on the pandemic Read his talking points here,worry
RT The FDA issues an emergency use authorization for chloroquine and hydroxychloroquine to treat patients hospitalized with Covid,relief
RT Here s going nuts about the covid 19 crisis He attacks the media and the states goverments over the s,worry
RT Yes it s almost as if covid 19 is a highly contagious disease which requires doctors and nurses to use a lot of PPE to,neutral
Good article Relax Pharmacy Regulations to help with COVID 19 Testing and Treatment FutureOfPharmacy Rx,relief
RT Giannis Antetokounmpo has been tested positive with COVID 19 sources tell ESPN,neutral
RT My Mom s a nurse and just tested positive for COVID 19 The caregiver is now the patient Stay home for all the brave,relief
RT Today we published a series of modelling reports all looking at how a range of measures can help reduce the impact of CO,fun
RT One of the major challenges that brands face during a global crisis is knowing when and how to adjust marketing strategi,sadness
RT leon 04 My mom tested positive for COVID 19 yesterday Tonight we had to rush her to the emergency room because she couldn t breath,worry
RT The authors hypothesize that angiotensin converting enzyme 2 ACE2 may be beneficial rather than harmful during lung injury and,worry
RT RT to thank America s doctors for their unwavering dedication on the front lines of this battle with COVID 19 NationalD,relief
RT Here is scamvangelist Kenneth Copeland DESTROYING the virus through what I can only describe as a Christian magic spell,neutral
RT Update on patients treated w HCQ AZ at the M diterran e Infection Hospital in France COVID 19 patients NOT treated,worry
RT We just filed a lawsuit to close the immigration courts and continue time sensitive cases through remote technologies ht,relief
Air crews are taking significant personal risks by continuing to report for duty We need immediate a,worry
RT Attn doctors nurses amp others involved in public health Pls sign this PETITION from to protect healthcare,fun
As a result of COVID19 many of our students have lost their part time and casual jobs The Emergency Student,worry
RT The study adds As many early cases of Covid 19 were linked to the Huanan market in Wuhan it is possible that an anima,happiness
RT It s an uncomfortable and grim topic to broach but this is the cruel reality of COVID19 No one is overreacting No one is e,sadness
RT If you have an 80 year old patient with terminal cancer heart disease and diabetes hanging onto life by a thread who die,worry
RT DrKhan You cannot make this up It s not a concern he said The virus we believe is politically motivated We hold our reli,worry
Joe Diffie Wry Country Traditionalist Dead At 61 Following COVID 19 Diagnosis,worry
RT If you think you have Covid 19 DO NOT TAKE IBUPROFEN there is a correlation between the pill the disease and those who are,happiness
RT As of today in Spain over 12 000 health professionals have tested positive for Covid 19 That s 14 of Spain s total co,neutral
RT There are now more than 737 000 diagnosed cases of COVID 19 With more than 143 000 diagnosed coronavirus cases the U S has by f,neutral
RT Nancy Pelosi claims Trump didn t act early enough to stop the spread of COVID 19 But when Trump banned Chinese natio,worry
RT A virus is innocent until proven guilty If you test positive it could be ANY coronavirus not the one allegedly ca,neutral
Everyone gonna die ChineseVirus Covid 19 CoronaVirusUpdates StayHome StayStrong Canada,happiness
RT My Mom s a nurse and just tested positive for COVID 19 The caregiver is now the patient Stay home for all the brave,relief
Still open artistsupport emergencycommissions Covid 19,happiness
RT Our enemy is the COVID 19 virus not each other stands with and others in condemn this hatr,happiness
RT For the health and safety of our communities I have issued safer at home guidelines in every Tennessee county to further m,worry
Grand Canyon just announced its first case of COVID 19 People live in close quarters in the small community of Par,happiness
The daily COVID 19 press conference has been delayed by half an hour and will be live at 1 30pm,worry
RT This is unconscionable Americans are already afraid of the impact the deadly COVID 19 pandemic is having on their lives th,sadness
RT Unfortunately along with fighting the worldwide and Canadian Covid 19 crisis and it s effect on our,happiness
RT Chinese medics have just arrived in London to help us fight Covid 19 The media won t tell you for some reason https,happiness
RT If you think you have Covid 19 DO NOT TAKE IBUPROFEN there is a correlation between the pill the disease and those who are,happiness
RT President of Brazil s tweet censored because it defies global authorities tells you all you need to know What he s,worry
RT Is it normal to keep bursting into tears Driving home last night I welled up At work several of us were crying I am,sadness
RT Chinese medics have just arrived in London to help us fight Covid 19 The media won t tell you for some reason https,happiness
RT 362 samples have been tested for Covid 19 to date Of that number 36 tested positive 9 results are pending and the re,happiness
RT Look at this Even the prisoners are trying to contribute to fight COVID 19 yet some dickheads out there are trying to force,worry
RT SEEK COMFORT The USNS Comfort a 1 000 bed Navy hospital ship passed the Statue of Liberty on its way into New York Cit,relief
OK yesterday my Mother In Law lost a friend to Covid 19 and I have 2 family members in the hospital on respirators,relief
I had hoped our nation would begin to heal when we all faced a common enemy as we did on 9 11 I thought we would,fun
Congratulations on creating a situation where NSW has the highest covid 19 infections,happiness
RT Chinese medics have just arrived in London to help us fight Covid 19 The media won t tell you for some reason https,happiness
RT VICTORY Just hours after filing our legal challenge a federal court has ruled to block Ohio s attempts at preventing access t,neutral
RT Why everyone should wear masks covid19,neutral
RT I just received awful news My Uncle Tommy Ghant died from COVID 19 in Michigan this morning I saw Uncle Tommy 3 months,worry
RT We have lost one of our NY based trans community leaders to COVID 19 Rest in power Lorena Borjas,fun
Spring on the farm means an abundance of fresh cheese But with covid19 a lot of dairy farmer business are being p,fun
RT I know these are confusing and scary times so for the first episode of our new podcast I sat down with Ron Klain former Whi,worry
RT Do Lawmakers Want Another COVID 19 Bill We keep hearing that another massive bill is coming from Pelosi and the Demo,happiness
RT My Mom s a nurse and just tested positive for COVID 19 The caregiver is now the patient Stay home for all the brave,relief
RT R 7th CD TN addresses Covid 19 amp Hydroxychloroquine for Middle Tennessee Full video FaceBook Live https,happiness
RT Trump allowed COVID 19 to slip out of control He cut the CDC The economy is in the toilet Do polls really show American,happiness
RT Amazon just fired one of the leaders of today s AmazonStrike on Staten Island SHAME on a heartless firing of a wo,sadness
RT AndeKarim Its easy to say that COVID 19 is spreading because people wont stay home I think it has more to do with the fact that,happiness
RT While the nation focuses understandably on our hospitals ability to care for the coming surge of severely ill COV,worry
RT If you think you have Covid 19 DO NOT TAKE IBUPROFEN there is a correlation between the pill the disease and those who are,happiness
Support Christina by signing Why You Must Act Now and I ll deliver a copy to your officials too,worry
RT They designed a vaccine for Covid 19 in 3 hours back in January she said the results are looking very promising,worry
RT revealing Abbott Labs new 5 minute COVID 19 test,happiness
RT Dear employers after COVID 19 when an employee asks to work from home for a day or two please don t come up with a lame e,relief
Major grain bulk handlers including WA s Cooperative Bulk Handling have taken the unusual step of publicly disclo,neutral
RT Raise your hand if there is someone in your immediate circle of friends and family who would be extremely vulnerable if,worry
RT As a college student I have been laid off my part time job denied unemployment left out of the COVID 19 relief pac,relief
RT My daughter s first grade teacher has died from COVID 19,worry
RT This article by FreePress is shocking We should be encouraging discussion during the coronavirus pandemic not shutt,worry
RT AndeKarim Its easy to say that COVID 19 is spreading because people wont stay home I think it has more to do with the fact that,happiness
RT My Mom s a nurse and just tested positive for COVID 19 The caregiver is now the patient Stay home for all the brave,relief
RT My step brother is an anesthesiologist i e the ones who work with ventilators at a major hospital in the Bay Area and wr,sadness
RT A New Jersey Army National Guardsman passed away on Saturday marking DoD s first death from COVID 19,fun
RT When you feel like things are hopeless remember him,worry
crudmeal To say there isn t enough contact with Covid 19 contagions to warrant closing golf courses over fear,happiness
RT Raise your hand if there is someone in your immediate circle of friends and family who would be extremely vulnerable if,worry
these heros are all innocent as all Turkish people know but they are in jails release them on probation b4 COVID,neutral
RT I have COVID 19 I lost my smell and taste for weeks among other symptoms Luckily I am over the hump and on the mend I m,neutral
RT My Mom s a nurse and just tested positive for COVID 19 The caregiver is now the patient Stay home for all the brave,relief
RT leon 04 My mom tested positive for COVID 19 yesterday Tonight we had to rush her to the emergency room because she couldn t breath,worry
RT This is unconscionable Americans are already afraid of the impact the deadly COVID 19 pandemic is having on their lives th,sadness
RT AndeKarim Its easy to say that COVID 19 is spreading because people wont stay home I think it has more to do with the fact that,happiness
RT GOOD NEWS This 102 year old woman has recovered from COVID19 after spending 20 days in the hospital,relief
RT On March 21st I didn t think I d live to see midnight due to Covid 19 I felt like I was slowly drowning The Hydroxychl,worry
In behalf of idiot stupid people discriminating our healthworkers thinking they are carrier of Covid 19 I AM SORRY,worry
RT leon 04 My mom tested positive for COVID 19 yesterday Tonight we had to rush her to the emergency room because she couldn t breath,worry
RT coronavirus News Alert Dr Vladimir Zelenko a board certified family practitioner in NY has now treated 699 Covid 19,neutral
COVID19 tests WealthManagement firms in 3 critical areas 1 Performance of RoboAdvisors 2 Wealth advisors,fun
RT JR Hi everyone I just wanted just to inform you that we have received the results for the Covid 19 test and both Oriana an,fun
Huge respect to Gokul Sagar for saving people s lives you re a real hero I wish you good luck and let s play CS,fun
RT MintPlainFacts Decades of neglect have left India s public health system with a very weak arsenal to fight and eliminate c,worry
RT AndeKarim Its easy to say that COVID 19 is spreading because people wont stay home I think it has more to do with the fact that,happiness
RT NEW confirm a frontline officer has been diagnosed with COVID19,fun
RT CNN Dr James T Goodrich the neurosurgeon who allowed CNN inside a remarkable operation to separate twins Jadon and Ania,neutral
The White House detachment and nonchalance during the early stages of the coronavirus outbreak will be among the m,worry
RT Wildcat will be working alongside Chinook and Puma helicopters part of an Aviation Task For,worry
RT We have lost one of our NY based trans community leaders to COVID 19 Rest in power Lorena Borjas,fun
RT AndeKarim Its easy to say that COVID 19 is spreading because people wont stay home I think it has more to do with the fact that,happiness
RT They won t follow social distancing because to them every govt appeal is an interference to their religious freedom,worry
RT leon 04 My mom tested positive for COVID 19 yesterday Tonight we had to rush her to the emergency room because she couldn t breath,worry
RT Today fewer cases than yesterday Today is a new hope covid coronavirus COVID19italia covid19italy COVID2019 C,worry
RT My Mom s a nurse and just tested positive for COVID 19 The caregiver is now the patient Stay home for all the brave,relief
RT Our country is facing a severe blood shortage due to COVID 19 Now more than ever the FDA must end its discriminatory b,worry
RT Medical team arrived London from China on Friday TogetherWeCan Covid 19,happiness
RT My Mom s a nurse and just tested positive for COVID 19 The caregiver is now the patient Stay home for all the brave,relief
RT This is unconscionable Americans are already afraid of the impact the deadly COVID 19 pandemic is having on their lives th,sadness
RT Desperate time of crisis Socialist or Communist Sanders is pulling something right out of Marx Communists Manifesto Workers,worry
RT in the midst of a public health crisis the Trump EPA is allowing companies that hurt the public health to self police w,sadness
RT In good hands Hospitals are running out of masks in Iowa we have no idea how many people have contracted Covid,neutral
People with Dependent care FSAs they can t use I just found out by contacting my benefits company that COVID 19 c,sadness
RT Rep Velazquez has presumed COVID 19 infection was near Pelosi other lawmakers last week I m starting to believe that,worry
RT oliver The rail movement will occur across the country and may cause surprise due to the extent of the equipment transported ba,worry
RT After all this is over never forget how the government compromised its healthcare system WAY before COVID 19 https,neutral
RT Life finds ways of throwing LEMON at me I ve struggled w coming forward but I want to inspire hope I returned to N,worry
Covid 19 Corona Virus Disease 2019,happiness
RT If you have an 80 year old patient with terminal cancer heart disease and diabetes hanging onto life by a thread who die,worry
RT Global What will COVID 19 mean for the offshore wind industry An industry not yet spinning on its own vi,happiness
RT foundation Reliance Industries announces Rs 500 crore contribution to PMCARES Fund In addition to its multi pronged on the ground,worry
RT Journalists are working in overdrive while CoveringCOVID are hosting a series of webinars as part of the Global,neutral
RT Kenno x I m a front line HCW 6 out of my last 7 shifts have had to be covered by agency or overtime because I m waiting for covid 1,worry
RT To understand China who doesn t have a 5 year mentality as we do you have to think like them They think 100 years at a t,worry
RT My Mom s a nurse and just tested positive for COVID 19 The caregiver is now the patient Stay home for all the brave,relief
Massachusetts Berkshire District Attorney Andrea Harrington filed a petition to release non violent prisoners in,happiness
RT is one of the symptoms of COVID 19 having a small penis Need to know right away Asking for a friend,happiness
RT My cousin in jail in NYC MDC just told me he got covid 19 He s in a dorm with 6 others and he called me saying crazy shit,worry
RT This is unconscionable Americans are already afraid of the impact the deadly COVID 19 pandemic is having on their lives th,sadness
RT PELOSI SAYS INVESTIGATE TRUMP S COVID 19 RESPONSE TRUMP Donated Salary to COVID 19 Research PELOSI Gives herself a,neutral
RT We have lost one of our NY based trans community leaders to COVID 19 Rest in power Lorena Borjas,fun
Here s Why You Don t Need to Freak Out About Cats Getting COVID 19,worry
RT Your local restaurant cafe or hair salon could be in serious financial jeopardy amidst COVID 19 asked members ho,fun
RT On National Doctors Day I m moved amp humbled by the incredible dedication of my fellow VA physicians during the COVID19 cris,worry
RT These news conferences are just his version of a Rally He lies so much and he gets a pass because of his,worry
Trump s Monday comments showed he saw voter suppression as part of his re election strategy the Democratic Nationa,relief
RT Pentagon orders military bases to stop releasing specific COVID 19 numbers,happiness
RT Heartbreaking that a 17 year old died of COVID 19 after being denied urgent care treatment for not having of insurance 10,happiness
As said We need everyone in our city to call a doctor or a health care provider if they have the symp,worry
RT leon 04 My mom tested positive for COVID 19 yesterday Tonight we had to rush her to the emergency room because she couldn t breath,worry
RT 1 2 We ll never stop shining for you Starting tonight through the COVID 19 battle our signature white lights wil,fun
RT Stay at home Stop the spread of COVID 19 Only go out for absolute essentials like food and medicine For more informat,happiness
RT My sister has Covid 19 She s 7 months pregnant Will you pray for her,worry
RT BREAKING Proof that fear triggers a positive Covid 19 test This thing is a scarlet letter The quarantine is permanent unti,happiness
RT CRRT in the era of COVID 19 NxStage Medical Inc,happiness
RT Seeing so many I lost my to the COVID 19 May Allah have mercy on their souls and widen their grave,worry
RT Hey I m an organizer that put together a team of over 3 000 law students to provide pro bono support to attorne,neutral
Hey Shane we are sorry about that Due to the current COVID 19 situation we are experiencing a dra,worry
RT Bosch Northern Ireland team develops WHO compliant fully automated fast Covid 19 test system 2 5h and tests for 9,worry
RT leon 04 My mom tested positive for COVID 19 yesterday Tonight we had to rush her to the emergency room because she couldn t breath,worry
RT My Mom s a nurse and just tested positive for COVID 19 The caregiver is now the patient Stay home for all the brave,relief
RT Great nutrition tips from to ensure you are keeping healthy during socialdistancing and selfisolation Important,fun
RT My Mom s a nurse and just tested positive for COVID 19 The caregiver is now the patient Stay home for all the brave,relief
RT nz Today we launched Agritech New Zealand Insights an online digital platform to support the sector s resilience and busine,fun
RT So sad to hear that singer songwriter John Prine is critically ill with COVID 19 His Vietnam Vet song Sam Stone as re,sadness
RT Chinese medics have just arrived in London to help us fight Covid 19 The media won t tell you for some reason https,happiness
RT Twitter is now removing tweets from world leaders that challenge the coronavirus shutdown Bolsonaro becomes the first,fun
Hegedu Here s an article though from a Canadian perspective that addresses this and I found made me actual,worry
RT Some silver lining from the Makati Medical Center which reported that it has discharged 29 COVID 19 patients who have,fun
RT Look at this Even the prisoners are trying to contribute to fight COVID 19 yet some dickheads out there are trying to force,worry
RT My Mom s a nurse and just tested positive for COVID 19 The caregiver is now the patient Stay home for all the brave,relief
RT joins the collective effort during the COVID 19 crisis,happiness
RT ICYMI Why is Jason Kenney actively adding to the unemployment line during a pandemic This is ridiculous He passed a,worry
RT Amazon just fired one of the leaders of today s AmazonStrike on Staten Island SHAME on a heartless firing of a wo,sadness
RT Here s how Colorado is prioritizing who gets tested for COVID 19 per state health department,happiness
RT Once again New York dominates the US COVID 19 outbreak contributing 279 deaths to the daily total of 543 I am curious t,sadness
RT This is unconscionable Americans are already afraid of the impact the deadly COVID 19 pandemic is having on their lives th,sadness
RT we decided to do a home photoshoot since its covid 19 hours StayHome,happiness
RT fully recovered and is fine However Never got a Covid 19 test Now about a test for antibodies immunity,worry
RT I did a deep dive into the COVID literature scanning 1300 PubMed articles I put together what I think is a core group of,worry
RT 362 samples have been tested for Covid 19 to date Of that number 36 tested positive 9 results are pending and the re,happiness
RT Coronavirus doesn t discriminate but racial disparities in our health care system may mean Black and Brown families aren t,neutral
RT Are You A Retired Health Care Worker Or A Student Helping With The COVID 19 Response,fun
RT Look at this Even the prisoners are trying to contribute to fight COVID 19 yet some dickheads out there are trying to force,worry
RT leon 04 My mom tested positive for COVID 19 yesterday Tonight we had to rush her to the emergency room because she couldn t breath,worry
RT PLEASE SHARE There is a life or death emergency situation happening right now in the Florida prison system Eleven FL,worry
RT My Mom s a nurse and just tested positive for COVID 19 The caregiver is now the patient Stay home for all the brave,relief
RT AndeKarim Its easy to say that COVID 19 is spreading because people wont stay home I think it has more to do with the fact that,happiness
